Transaction Hash,Original Gas Used,"EVMPatch (Success, Gas Used, Error)","SmartShield (Success, Gas Used, Error)","Elysium (Success, Gas Used, Error)"
0x79f56c3e5bc43be0f502d874d3702704bd0e07eec6a9052ca74c8d580af518cd,40915,"(True, 41035, None)","(True, 41076, None)","(True, 41005, None)"
0x4449baa70462a9f17af061b710cc73b79f55e39f640858abd154c03c8a7fb1e8,40915,"(True, 41035, None)","(True, 41076, None)","(True, 41005, None)"
0x2a098173ea7bc38c1357f47cf6ab164f2c9c241aea6af37a38d91495cddf429d,40915,"(True, 41035, None)","(True, 41076, None)","(True, 41005, None)"
0xc47799a7df2da4c08719b5cb6d6e6982fd48668c7ca9d901c53d65b070ad650e,40915,"(True, 41035, None)","(True, 41076, None)","(True, 41005, None)"
0x5659a4b9832b836721dccc2e438e92cf220290c999cdb6377ae39f0b680b6c0c,40915,"(True, 41035, None)","(True, 41076, None)","(True, 41005, None)"
0x894f6f3824bebe62b9bf1d65bf4bc04ce6881a9195004af56fe42a74d24868a3,25915,"(True, 26035, None)","(True, 26076, None)","(True, 26005, None)"
0xd565d788af001b2612a07f021dada52f2e12298bb84990ebcca34290e79a4607,40915,"(True, 41035, None)","(True, 41076, None)","(True, 41005, None)"
0x9507ff7cc446aa233704f01f6fe1c82a67403c169223bedba62c7a25dc86b2f8,40915,"(True, 41035, None)","(True, 41076, None)","(True, 41005, None)"
0x88278ea35db60125c33cf3d1d3e97a95d2ccdb9657b803e62d587aedb94bcb12,40915,"(True, 41035, None)","(True, 41076, None)","(True, 41005, None)"
0x673c642720a0e14cf8cf1d5e3c694a7adaa46bf610a50deeb674ad23f2849511,40915,"(True, 41035, None)","(True, 41076, None)","(True, 41005, None)"
0x5eedd372fefb46bec62598da1d9bd81d28a396814b608fd73d83a4d806e0159c,40915,"(True, 41035, None)","(True, 41076, None)","(True, 41005, None)"
0xc6d29b2575f58bfe55a95f2f2f570a6e165b5d022c91bada481808783c83a351,25915,"(True, 26035, None)","(True, 26076, None)","(True, 26005, None)"
0x2af4c90fbca24fc24a6fe393413cc12dc54396ed3630407d9b860ce9d0c3acab,40915,"(True, 41035, None)","(True, 41076, None)","(True, 41005, None)"
0xc34c18c69bd1d594e9da1c6d01c7239f7acd8fb7c5c4c1a9f4b1edb645e9b0ec,40915,"(True, 41035, None)","(True, 41076, None)","(True, 41005, None)"
0x903b4e789f81efe85afbe8e16add929d0a7bedd51dd2abe13167e829c2c0874c,40915,"(True, 41035, None)","(True, 41076, None)","(True, 41005, None)"
0x86ac79032aea0bf6d2adebb85296e7ab76ffd3ae9542cdc0dc5e53f70d2a5247,25915,"(True, 26035, None)","(True, 26076, None)","(True, 26005, None)"
0x2641dc138b0ee6d8596240825d7837f2061fa231f10f72d91f9ba3bfc56d3aaf,40915,"(True, 41035, None)","(True, 41076, None)","(True, 41005, None)"
0x1fcd4dffa862c52980ef60d0bba17ec3996308083a3ec8d9e7db7d6c2bc51891,25915,"(True, 26035, None)","(True, 26076, None)","(True, 26005, None)"
0x72aa4948359903501842d21c4b5f0c61f66147d1a5654900acde38faa569b7a5,40915,"(True, 41035, None)","(True, 41076, None)","(True, 41005, None)"
0x4d0e0d78dadcda3814022cb74f9fc57b1d8cdd5c66c433579c4e25958dd6c6e9,40915,"(True, 41035, None)","(True, 41076, None)","(True, 41005, None)"
0x7cf6ec064c3283d1f6a10f158f1fd1ab9df13c356833ec502fe2f8240b6a048d,40915,"(True, 41035, None)","(True, 41076, None)","(True, 41005, None)"
0xdcf081aae4a99d9ff80a79f04f354cb19c087d54913d2850c42747b2e6bd1f0f,40915,"(True, 41035, None)","(True, 41076, None)","(True, 41005, None)"
0x1653f39ed761a665bbecd17b3e765983a9473d0f62ee98ccc8186f211a9798b9,40915,"(True, 41035, None)","(True, 41076, None)","(True, 41005, None)"
0x8ad8eb0be3e40e94223c78d66a340fda29c88a9db2de3bd0b49b6ddbca70f076,40915,"(True, 41035, None)","(True, 41076, None)","(True, 41005, None)"
0x5c2d8b568b7bf995c77f46a09a1afa972a258b6c7a0c71908c66c39493a07b0a,40915,"(True, 41035, None)","(True, 41076, None)","(True, 41005, None)"
0x5129d37dd77b97c010e41bf8908486afc69844bc651fbfc9bf78498b49d2231a,40915,"(True, 41035, None)","(True, 41076, None)","(True, 41005, None)"
0xc6a011cb3a97e68c2f5d60e04f2c04cce6ead54956ed70a789c72bfcb8a7161f,40915,"(True, 41035, None)","(True, 41076, None)","(True, 41005, None)"
0x359372f10f724baf8c595fede480cd903fd87fb9a40f3ed9f399e094dab5a572,25915,"(True, 26035, None)","(True, 26076, None)","(True, 26005, None)"
0x7c9267f153f0590d04b06859f45b5208d130011f339af38da379fc40dffcea49,40915,"(True, 41035, None)","(True, 41076, None)","(True, 41005, None)"
0x3686404dcc02842d6469d36b1948adcf6c0a948c623bb244b1742e73f6295b66,40915,"(True, 41035, None)","(True, 41076, None)","(True, 41005, None)"
0xcc12fc52d18d3682c3d6842edf1bb3441b38fd408cb0551535cc1b2d045fd4d8,40915,"(True, 41035, None)","(True, 41076, None)","(True, 41005, None)"
0x1de471300d47a50530d088a6e6afa46d7764b1bdb6bad5b1eba5c9db54db1a17,25915,"(True, 26035, None)","(True, 26076, None)","(True, 26005, None)"
0x61e3a4d19d9a69b01297145bd5cf204de6dc56ccb346191a0ff92c449e688148,40915,"(True, 41035, None)","(True, 41076, None)","(True, 41005, None)"
0xcb9d6e70a4c6b3a25968a325654d98023890a6685b404ffaea5e7410e9d2173a,40915,"(True, 41035, None)","(True, 41076, None)","(True, 41005, None)"
0xab24be1a63e40e8ab164da778b940ae124768ca9167ac750c415e80b132b440a,40915,"(True, 41035, None)","(True, 41076, None)","(True, 41005, None)"
0x048d73df7b72627628d1791ce5adca69babfc756e6cdeb7553ca42d40e111ed3,40915,"(True, 41035, None)","(True, 41076, None)","(True, 41005, None)"
0xc4c21e3fe8130379594576454ae390abb635d6f3d4b855995654da200b7d1832,40915,"(True, 41035, None)","(True, 41076, None)","(True, 41005, None)"
0x7ca8edb0ec27e2d939e20728f8884f5aee35de6a45670bcfe023e48276f86dc9,40915,"(True, 41035, None)","(True, 41076, None)","(True, 41005, None)"
0x1b85ea332e3419d0387f25c55a0da253b76860813f0524a458690521e273dc40,40915,"(True, 41035, None)","(True, 41076, None)","(True, 41005, None)"
0xb353cb665806bb84e4bebe1315275fa5ba087b41ad145bc193dca00084ef6fff,40915,"(True, 41035, None)","(True, 41076, None)","(True, 41005, None)"
0xb0448d1339098fb3ca6f764b253b029381c9e9dd440d23744dd8c2a534b08295,40915,"(True, 41035, None)","(True, 41076, None)","(True, 41005, None)"
0x9168a4626783124cbb1afb4a9ae396c8523b9ab89bd030279ed4c4865e6d9a39,40915,"(True, 41035, None)","(True, 41076, None)","(True, 41005, None)"
0xdf5e43a0102f5d6d2cc973339c52aa05bab2e6c6ce11633755d46b81315acc59,40915,"(True, 41035, None)","(True, 41076, None)","(True, 41005, None)"
0x5263683718318fe0446f7d48769a900616ab54c810174d42814a76b8e49c343b,25915,"(True, 26035, None)","(True, 26076, None)","(True, 26005, None)"
0x46e95c1f94651a082b942ebfbd4bb63572dfb870cbe045f7d2561826a7d71345,40915,"(True, 41035, None)","(True, 41076, None)","(True, 41005, None)"
